Filename,PSNR (dB),SSIM,Inference Time (s),FPS,GPU Memory (MB)
1.jpg,40.80987447763735,0.9877084154773351,0.23837720000301488,4.195032075162191,235.63037109375
10.jpg,36.52811513387811,0.9760851014348987,0.010912400000961497,91.63886953483097,235.63037109375
11.jpg,32.76422797185998,0.9390834115595915,0.010887699987506494,91.84676296623604,235.63037109375
12.jpg,41.162831909388714,0.9897587799251956,0.011050800007069483,90.4911861005786,235.63037109375
13.jpg,35.92564449945443,0.9621775313264531,0.011733399995137006,85.22678851947921,235.63037109375
14.jpg,36.17713797090394,0.9663673945141685,0.011430799990193918,87.48294090158737,235.63037109375
15.jpg,34.51748008362888,0.9540081185620588,0.011773100006394088,84.93939569500726,235.63037109375
16.jpg,35.01463367653591,0.9525176038824467,0.012384399975417182,80.74674606642087,235.63037109375
17.jpg,34.71927363068103,0.9488717068354342,0.011078400013502687,90.26574223544645,235.63037109375
18.jpg,35.24754404867706,0.9739725323420299,0.011718900001142174,85.33224107233066,235.63037109375
19.jpg,35.21904494131554,0.9588393212681293,0.012246500002220273,81.65598332737528,235.63037109375
2.jpg,39.055967345328845,0.9814969696643723,0.011697000009007752,85.4920064315559,235.63037109375
20.jpg,35.04911434598238,0.9483226319046093,0.011558300000615418,86.5179135293906,235.63037109375
21.jpg,34.746875460306086,0.9564186989425978,0.011449300014646724,87.34158408992096,235.63037109375
22.jpg,36.038461355688625,0.9653194866481165,0.011247599992202595,88.90785595978258,235.63037109375
23.jpg,40.615017908405626,0.9870884396421694,0.011144799995236099,89.72794490950534,235.63037109375
24.jpg,40.49973695906168,0.9884916614458374,0.011235399986617267,89.00439692321787,235.63037109375
25.jpg,35.951770552319545,0.9703982128478256,0.011373000015737489,87.92754757902411,235.63037109375
3.jpg,36.60760999153699,0.9764571965407208,0.011249000002862886,88.89679080322684,235.63037109375
4.jpg,37.86937116410046,0.9768766837190954,0.011056899995310232,90.44126296015597,235.63037109375
5.jpg,38.524426846889355,0.9749568759847683,0.011475199979031458,87.14445080062151,235.63037109375
6.jpg,37.66852224450652,0.9750040437709558,0.011283700005151331,88.62341249266387,235.63037109375
7.jpg,41.330573098316506,0.9875128282507101,0.011042600002838299,90.55838296623696,235.63037109375
8.jpg,37.97368913012398,0.9764676410102243,0.010243299999274313,97.62478889331027,235.63037109375
9.jpg,36.29061718189209,0.9691245782972832,0.01060079998569563,94.33250333459428,235.63037109375
